Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
265.  ;68 pokojów;Malone Marianne;2010;267;fantastyka dziecięca;;;;;
266.  ;68 pokojów, tom 2, Złodziejka czarów;Malone Marianne;2011;246;fantastyka dziecięca;;;;;
267.  ;Pies, który biegł ku gwieździe;Mankell Henning;2008;183;literatura dziecięca;;;;;
268.  ;Baśnie z dalekich wysp i lądów;Markowska Wanda, Milska Anna;2006;299;literatura dziecięca;;;;;
269.  ;Jutro, tom 1, Kiedy zaczęła się wojna;Marsden John;2011;270;literatura młodzieżowa;;;;;
270.  ;Jutro, tom 2, W pułapce nocy;Marsden John;2011;269;literatura młodzieżowa;;;;;
271.  ;Jutro, tom 3, W objęciach chłodu;Marsden John;2011;269;literatura młodzieżowa;;;;;
272.  ;Życie Pi;Martel Yann;2013;399;literatura młodzieżowa;;;;;
273.  ;Pieśń lodu i ognia, tom 1, Gra o tron;Martin George R. R.;2011;838;fantasy;;;;;
274.  ;Pieśń lodu i ognia, tom 2, Starcie królów;Martin George R. R.;2012;970;fantasy;;;;;
275.  ;Pieśń lodu i ognia, tom 3, Nawałnica mieczy, część 1, Stal i śnieg;Martin George R. R.;2013;673;fantasy;;;;;
276.  ;Pieśń lodu i ognia, tom 3, Nawałnica mieczy, część 2, Krew i złoto;Martin George R. R.;2014;577;fantasy;;;;;
277.  ;Szklany tron;Mass J. Sarah;2013;512;fantastyka młodzieżowa;;;;;
278.  ;Szklany tron, tom 2, Korona w mroku;Mass J. Sarah;2014;492;fantastyka młodzieżowa;;;;;
279.  ;Szklany tron, tom 3, Dziedzictwo ognia;Mass J. Sarah;2015;654;fantastyka młodzieżowa;;;;;
280.  ;Arkadia, tom 1, Przebudzenie Arkadii;Meyer Kai;2013;444;fantastyka młodzieżowa;;;;;
281.  ;Arkadia, tom 2, Arkadia płonie;Meyer Kai;2014;412;fantastyka młodzieżowa;;;;;
282.  ;Arkadia, tom 3, Upadek Arkadii;Meyer Kai;2014;452;fantastyka młodzieżowa;;;;;
284.  ;Grażyna;Mickiewicz Adam;2010;162;klasyka;;;;;
285.  ;Konrad Wallenrod;Mickiewicz Adam;2010;37;klasyka;;;;;
283.  ;Ballady i romanse;Mickiewicz Adam;2011;65;klasyka;;;;;
286.  ;Mrówańcza;Mielnikow Rusłan;2014;359;science fiction;;;;;
287.  ;Aplikacja;Miller Lauren;2015;454;fantastyka młodzieżowa;;;;;
288.  ;Kubuś Puchatek;Milne A. A.;2009;137;literatura dziecięca;;;;;
290.  ;Rumo i cuda w ciemnościach;Moers Walter;2008;683;fantasy;;;;;
289.  ;Kot alchemika;Moers Walter;2010;362;fantasy;;;;;
293.  ;Ania z Zielonego Wzgórza, tom 2, Ania z Avonlea;Montgomery Lucy Maud;1988;234;literatura młodzieżowa;;;;;
294.  ;Ania z Zielonego Wzgórza, tom 3, Ania na uniwersytecie;Montgomery Lucy Maud;1988;237;literatura młodzieżowa;;;;;
296.  ;Ania z Zielonego Wzgórza, tom 8, Rilla ze Złotego Brzegu;Montgomery Lucy Maud;1989;237;literatura młodzieżowa;;;;;
295.  ;Ania z Zielonego Wzgórza, tom 6, Ania ze Złotego Brzegu;Montgomery Lucy Maud;1990;287;literatura młodzieżowa;;;;;
291.  ;Ania z Zielonego Wzgórza;Montgomery Lucy Maud;2004;245;literatura młodzieżowa;;;;;
292.  ;Ania z Zielonego Wzgórza;Montgomery Lucy Maud;2006;155;literatura młodzieżowa;;;;;
297.  ;Pat ze Srebrnego Gaju;Montgomery Lucy Maud;2006;334;literatura młodzieżowa;;;;;
299.  ;Baśniobór, tom 2, Gwiazda Wieczorna wschodzi;Mull Brandon;2011;405;fantastyka dziecięca;;;;;
298.  ;Baśniobór;Mull Brandon;2012;336;fantastyka dziecięca;;;;;
300.  ;Baśniobór, tom 3, Plaga cieni;Mull Brandon;2012;452;fantastyka dziecięca;;;;;
301.  ;Baśniobór, tom 4, Tajemnice smoczego azylu;Mull Brandon;2012;502;fantastyka dziecięca;;;;;
302.  ;Baśniobór, tom 5, Klucze do więzienia demonów;Mull Brandon;2013;548;fantastyka dziecięca;;;;;
303.  ;Konkurs;Murphy Julie;2015;303;literatura młodzieżowa;;;;;
304.  ;Mój dziadek był drzewem czereśniowym;Nanetti Angela;2007;181;literatura dziecięca;;;;;
305.  ;Historia amuletu;Nesbit Edith;2010;314;literatura dziecięca;;;;;
308.  ;Wszystko, tylko nie mięta;Nowak Ewa;2012;229;literatura młodzieżowa;;;;;
306.  ;Kiedyś na pewno;Nowak Ewa;2013;309;literatura młodzieżowa;;;;;
307.  ;Niebieskie migdały;Nowak Ewa;2014;516;literatura młodzieżowa;;;;;
309.  ;7 razy dziś;Oliver Lauren;2015;379;literatura młodzieżowa;;;;;
310.  ;Panika;Oliver Lauren;2016;358;literatura młodzieżowa;;;;;
312.  ;Maciek i łowcy duchów;Onichimowska Anna;2009;167;literatura młodzieżowa;;;;;
311.  ;Dziesięć stron świata;Onichimowska Anna;2015;182;literatura młodzieżowa;;;;;
314.  ;Etyka;Opracowanie zbiorowe;2012;306;filozofia, etyka;;;;;
313.  ;Bajki wierszem;Opracowanie zbiorowe;2006;245;literatura dziecięca;;;;;
316.  ;Rok 1984;Orwell George;2014;336;literatura piękna;;;;;
315.  ;Folwark zwierzęcy;Orwell George;2015;122;literatura piękna;;;;;
317.  ;Pasjans;Oseman Alice;2016;363;literatura młodzieżowa;;;;;
318.  ;Słoń Birrara;Ossendowski Ferdynand Antoni;2006;143;literatura dziecięca;;;;;
319.  ;Misia rządzi;Ostrowicka Beata;2013;171;literatura młodzieżowa;;;;;
320.  ;Zaledwie kilka dni;Ostrowicka Beata;2014;134;literatura młodzieżowa;;;;;
321.  ;Zła dziewczyna;Ostrowicka Beata;2014;204;literatura młodzieżowa;;;;;
322.  ;Przygody Sajo i małych bobrów;Owl Grey;2006;159;literatura dziecięca;;;;;
323.  ;Przygody Odyseusza;Parandowski Jan;1994;117;literatura dziecięca;;;;;
324.  ;Most do Terabithii;Paterson Katherine;2007;235;literatura dziecięca;;;;;
325.  ;Most do Terabithii;Paterson Katherine;2006;111;literatura dziecięca;;;;;
326.  ;Rój;Paull Laline;2016;382;literatura piękna;;;;;
327.  ;Najlepsza książka na świecie;Payne Jan;2009;251;literatura dziecięca;;;;;
328.  ;Bajki filozoficzne;Piquemal Michel;2006;123;literatura dziecięca;;;;;
329.  ;Świat dysku, tom 01, Kolor magii;Pratchett Terry;1994;203;fantasy;;;;;
335.  ;Świat dysku, tom 17, Ciekawe czasy;Pratchett Terry;2003;304;fantasy;;;;;
336.  ;Świat dysku, tom 22, Ostatni kontynent;Pratchett Terry;2006;302;fantasy;;;;;
331.  ;Świat dysku, tom 03, Równoumagicznienie;Pratchett Terry;2011;198;fantasy;;;;;
333.  ;Świat dysku, tom 07, Piramidy;Pratchett Terry;2011;275;fantasy;;;;;
334.  ;Świat dysku, tom 08, Straż! Straż!;Pratchett Terry;2011;301;fantasy;;;;;
332.  ;Świat dysku, tom 04, Mort;Pratchett Terry;2012;231;fantasy;;;;;
330.  ;Świat dysku, tom 02, Blask fantastyczny;Pratchett Terry;2013;190;fantasy;;;;;
337.  ;Długa Ziemia;Pratchett Terry, Baxter Stephen;2013;358;science fiction;;;;;
338.  ;Długa Ziemia, tom 2, Długa Wojna;Pratchett Terry, Baxter Stephen;2014;441;science fiction;;;;;
339.  ;Długa Ziemia, tom 3, Długi Mars;Pratchett Terry, Baxter Stephen;2015;366;science fiction;;;;;
340.  ;Długa Ziemia, tom 4, Długa Utopia;Pratchett Terry, Baxter Stephen;2016;373;science fiction;;;;;
341.  ;Długa Ziemia, tom 5, Długi Kosmos;Pratchett Terry, Baxter Stephen;2017;397;science fiction;;;;;
342.  ;Malutka czarownica;Preussler Otfried;2009;156;literatura dziecięca;;;;;
343.  ;Starter;Price Lissa;2015;400;fantastyka młodzieżowa;;;;;
357.  ;Percy Jackson i bogowie olimpijscy, tom 2, Morze potworów;Riordan Rick;2009;276;fantastyka dziecięca;;;;;
356.  ;Percy Jackson i bogowie olimpijscy, tom 1, Złodziej pioruna;Riordan Rick;2010;358;fantastyka dziecięca;;;;;
358.  ;Percy Jackson i bogowie olimpijscy, tom 3, Klątwa tytana;Riordan Rick;2010;308;fantastyka dziecięca;;;;;
359.  ;Percy Jackson i bogowie olimpijscy, tom 4, Bitwa w labiryncie;Riordan Rick;2010;360;fantastyka dziecięca;;;;;
360.  ;Percy Jackson i bogowie olimpijscy, tom 5, Ostatni olimpijczyk;Riordan Rick;2010;373;fantastyka dziecięca;;;;;
345.  ;Archiwum herosów;Riordan Rick;2011;141;fantastyka dziecięca;;;;;
348.  ;Kroniki rodu Kane, tom 1, Czerwona piramida;Riordan Rick;2011;540;fantastyka dziecięca;;;;;
349.  ;Kroniki rodu Kane, tom 2, Ognisty tron;Riordan Rick;2011;449;fantastyka dziecięca;;;;;
351.  ;Olimpijscy herosi, tom 1, Zagubiony heros;Riordan Rick;2011;520;fantastyka dziecięca;;;;;
344.  ;39 wskazówek, tom 1, Labirnt kości;Riordan Rick;2012;239;fantastyka dziecięca;;;;;
350.  ;Kroniki rodu Kane, tom 3, Cień węża;Riordan Rick;2012;410;fantastyka dziecięca;;;;;
352.  ;Olimpijscy herosi, tom 2, Syn Neptuna;Riordan Rick;2012;475;fantastyka dziecięca;;;;;
353.  ;Olimpijscy herosi, tom 3, Znak Ateny;Riordan Rick;2012;525;fantastyka dziecięca;;;;;
354.  ;Olimpijscy herosi, tom 4, Dom Hadesa;Riordan Rick;2013;539;fantastyka dziecięca;;;;;
355.  ;Olimpijscy herosi, tom 5, Krew Olimpu;Riordan Rick;2014;474;fantastyka dziecięca;;;;;
346.  ;Berło Serapisa i inne opowiadania;Riordan Rick;2016;527;fantastyka dziecięca;;;;;
347.  ;Big red tequilla;Riordan Rick;2016;459;fantastyka dziecięca;;;;;
361.  ;Cztery;Roth Veronica;2014;301;fantastyka młodzieżowa;;;;;
362.  ;Niezgodna;Roth Veronica;2014;349;fantastyka młodzieżowa;;;;;
364.  ;Niezgodna, tom 3, Wierna;Roth Veronica;2014;377;fantastyka młodzieżowa;;;;;
363.  ;Niezgodna, tom 2, Zbuntowana;Roth Veronica;2015;365;fantastyka młodzieżowa;;;;;
365.  ;Harry Potter, tom 1, Harry Potter i kamień filozoficzny;Rowling J. K.;2000;319;fantastyka dziecięca;;;;;
366.  ;Harry Potter, tom 2, Harry Potter i komnata tajemnic;Rowling J. K.;2000;356;fantastyka dziecięca;;;;;
367.  ;Harry Potter, tom 3, Harry Potter i więzień Askabanu;Rowling J. K.;2001;450;fantastyka dziecięca;;;;;
368.  ;Harry Potter, tom 4, Harry Potter i czara ognia;Rowling J. K.;2001;759;fantastyka dziecięca;;;;;
369.  ;Harry Potter, tom 5, Harry Potter i Zakon Feniksa;Rowling J. K.;2004;949;fantastyka dziecięca;;;;;
370.  ;Harry Potter, tom 6, Harry Potter i książę Półkrwi;Rowling J. K.;2006;696;fantastyka dziecięca;;;;;
371.  ;Harry Potter, tom 7, Harry Potter i insygnia śmierci;Rowling J. K.;2008;774;fantastyka dziecięca;;;;;
372.  ;Absurdy PRL-u;Rychlewski Marcin;2006;202;inne;;;;;
376.  ;Septimus Heap, tom 4, Tajemna wyprawa;Sage Angie;2008;470;fantastyka dziecięca;;;;;
373.  ;Septimus Heap, tom 1, Zakazana magia;Sage Angie;2011;475;fantastyka dziecięca;;;;;
374.  ;Septimus Heap, tom 2, Smoczy lot;Sage Angie;2011;414;fantastyka dziecięca;;;;;
375.  ;Septimus Heap, tom 3, Duch królowej;Sage Angie;2011;422;fantastyka dziecięca;;;;;
377.  ;Septimus Heap, tom 5, Zemsta syreny;Sage Angie;2011;478;fantastyka dziecięca;;;;;
378.  ;Septimus Heap, tom 6, Złowieszczy mrok;Sage Angie;2012;499;fantastyka dziecięca;;;;;
379.  ;Buszujący w zbożu;Salinger Jerome David;1988;190;literatura młodzieżowa;;;;;
380.  ;Archiwum burzowego światła, tom 1, Droga królów;Sanderson Brandon;2014;954;fantasy;;;;;
381.  ;Archiwum burzowego światła, tom 2, Słowa światłości;Sanderson Brandon;2016;952;fantasy;;;;;
384.  ;Rozjemca;Sanderson Brandon;2016;628;fantasy;;;;;
382.  ;Archiwum burzowego światła, tom 3, Dawca Przysięgi I;Sanderson Brandon;2017;539;fantasy;;;;;
383.  ;Legion;Sanderson Brandon;2017;206;science fiction;;;;;
385.  ;Oskar i pani Róża;Schmitt Eric-Emmanuel;2010;78;literatura dziecięca;;;;;
386.  ;Sekrety nieśmiertelnego Nicolasa Flamela, tom 1, Alchemik;Scott Michael;2008;313;fantastyka dziecięca;;;;;
387.  ;Sekrety nieśmiertelnego Nicolasa Flamela, tom 2, Mag;Scott Michael;2009;368;fantastyka dziecięca;;;;;
388.  ;Sekrety nieśmiertelnego Nicolasa Flamela, tom 3, Czarodziejka;Scott Michael;2010;380;fantastyka dziecięca;;;;;
389.  ;Sekrety nieśmiertelnego Nicolasa Flamela, tom 4, Nekromanta;Scott Michael;2011;327;fantastyka dziecięca;;;;;
390.  ;Sekrety nieśmiertelnego Nicolasa Flamela, tom 5, Wiarołomca;Scott Michael;2012;311;fantastyka dziecięca;;;;;
391.  ;Sekrety nieśmiertelnego Nicolasa Flamela, tom 6, Wiedźma;Scott Michael;2013;430;fantastyka dziecięca;;;;;
392.  ;Ogień i woda;Scott Victoria;2015;363;fantastyka młodzieżowa;;;;;
393.  ;Ogień i woda, tom 2, Kamień i sól;Scott Victoria;2016;365;fantastyka młodzieżowa;;;;;
394.  ;The Bone Season, tom 1, Czas żniw;Shannon Samantha ;2013;497;fantastyka młodzieżowa;;;;;
395.  ;The Bone Season, tom 2, Zakon mimów;Shannon Samantha ;2015;528;fantastyka młodzieżowa;;;;;
396.  ;The Bone Season, tom 3, Pieśń jutra;Shannon Samantha ;2017;419;fantastyka młodzieżowa;;;;;
398.  ;Pretty Little Liars, tom 2, Bez skazy;Shepard Sara;2011;312;literatura młodzieżowa;;;;;
399.  ;Pretty Little Liars, tom 3, Doskonałe;Shepard Sara;2011;291;literatura młodzieżowa;;;;;
400.  ;Pretty Little Liars, tom 4, Niewiarygodne;Shepard Sara;2014;318;literatura młodzieżowa;;;;;
397.  ;Pretty Little Liars, tom 1, Kłamczuchy;Shepard Sara;2015;278;literatura młodzieżowa;;;;;
401.  ;W pustyni i w puszczy;Sienkiewicz Henryk;2010;527;literatura młodzieżowa;;;;;
402.  ;Kraksa;Spinelli Jerry;2006;157;literatura dziecięca;;;;;
403.  ;Pieśn delfina;St John Lauren;2010;269;literatura dziecięca;;;;;
404.  ;Tajemnica klejnotu Nefertiti;Stelmaszyk Agnieszka;2011;239;literatura dziecięca;;;;;
405.  ;Wyspa skarbów;Stevenson Robert Louis;1988;191;literatura dziecięca;;;;;
406.  ;Drżenie;Stiefvater Maggie;2015;459;fantastyka młodzieżowa;;;;;
407.  ;Służące;Stockett Kathryn;2010;571;fikcja historyczna;;;;;
408.  ;Rady nie od parady;Strzałkowska Małgorzata;2006;67;wiersze dziecięce;;;;;
409.  ;Sprawiedliwość owiec;Swann Leonie;2006;262;kryminał;;;;;
410.  ;Czarny młyn;Szczygielski Marcin;2011;247;literatura dziecięca;;;;;
411.  ;Tomek w krainie kangurów;Szklarski Alfred;2008;260;literatura dziecięca;;;;;
412.  ;Czworo i kości;Szymeczko Kazimierz;2011;127;literatura młodzieżowa;;;;;
413.  ;Etyka dla myślących;Środa Magdalena;2011;327;filozofia, etyka;;;;;
414.  ;Wilken, tom 1, Bracia krwi;Toft Di;2010;309;fantastyka dziecięca;;;;;
415.  ;Wilken, tom 2, Cyrk półmroku;Toft Di;2011;363;fantastyka dziecięca;;;;;
416.  ;Wilken, tom 3, Czas złego wilka;Toft Di;2011;299;fantastyka dziecięca;;;;;
417.  ;Hobbit;Tolkien J. R. R.;2012;314;fantasy;;;;;
418.  ;Władca pierścieni;Tolkien J. R. R.;2012;1132;fantasy;;;;;
419.  ;Zagubiony w Chinach;Troost J. Maarten;2015;369;literatura faktu;;;;;
420.  ;Wiersze;Tuwim Julian;2008;47;wiersze dziecięce;;;;;
421.  ;Wiersze i wierszyki;Tuwim Julian;2006;61;wiersze dziecięce;;;;;
422.  ;8+2 i ciężarówka;Vestly Anne-Cath.;2006;126;literatura dziecięca;;;;;
424.  ;Wesołe miasteczko;Waśniowska Emilia;2004;35;wiersze dziecięce;;;;;
423.  ;Pamiątki babuni;Waśniowska Emilia;2006;47;wiersze dziecięce;;;;;
425.  ;39 wskazówek, tom 4, Sekret grobowca;Watson Jude;2013;207;fantastyka dziecięca;;;;;
426.  ;Wierszykarnia;Wawiłow Danuta;2003;99;wiersze dziecięce;;;;;
427.  ;Biuro detektywistyczne Lassego i Mai, tom 01, Tajemnica diamentów;Widmark Maratin;2008;74;literatura dziecięca;;;;;
428.  ;Biuro detektywistyczne Lassego i Mai, tom 02, Tajemnica hotelu;Widmark Maratin;2009;69;literatura dziecięca;;;;;
429.  ;Biuro detektywistyczne Lassego i Mai, tom 03, Tajemnica cyrku;Widmark Maratin;2009;73;literatura dziecięca;;;;;
430.  ;Biuro detektywistyczne Lassego i Mai, tom 04, Tajemnca kawiarni;Widmark Maratin;2009;74;literatura dziecięca;;;;;
431.  ;Biuro detektywistyczne Lassego i Mai, tom 05, Tajemnica mumii;Widmark Maratin;2009;83;literatura dziecięca;;;;;
432.  ;Biuro detektywistyczne Lassego i Mai, tom 06, Tajemnica kina;Widmark Maratin;2009;86;literatura dziecięca;;;;;
433.  ;Biuro detektywistyczne Lassego i Mai, tom 07, Tajemnica pociągu;Widmark Maratin;2010;87;literatura dziecięca;;;;;
434.  ;Biuro detektywistyczne Lassego i Mai, tom 08, Tajemnica gazety;Widmark Maratin;2010;90;literatura dziecięca;;;;;
435.  ;Biuro detektywistyczne Lassego i Mai, tom 08, Tajemnica gazety;Widmark Maratin;2010;90;literatura dziecięca;;;;;
436.  ;Biuro detektywistyczne Lassego i Mai, tom 09, Tajemnica szkoły;Widmark Maratin;2010;86;literatura dziecięca;;;;;
437.  ;Biuro detektywistyczne Lassego i Mai, tom 10, Tajemnica złota;Widmark Maratin;2010;88;literatura dziecięca;;;;;
441.  ;Pamniętnik detektywa;Widmark Maratin;2010;91;literatura dziecięca;;;;;
438.  ;Biuro detektywistyczne Lassego i Mai, tom 11, Tajemnica szafranu;Widmark Maratin;2011;86;literatura dziecięca;;;;;
439.  ;Biuro detektywistyczne Lassego i Mai, tom 12, Tajemnica zwierząt ;Widmark Maratin;2011;95;literatura dziecięca;;;;;
440.  ;Biuro detektywistyczne Lassego i Mai, tom 13, Tajemnica biblioteki;Widmark Maratin;2011;80;literatura dziecięca;;;;;
442.  ;Bromba i filozofia;Wojtyszko Maciej;2007;125;literatura dziecięca;;;;;
443.  ;Bromby i Fikandra wieczór autorski;Wojtyszko Maciej;2009;79;literatura dziecięca;;;;;
444.  ;Dużo śmiechu trochę smutku to historia o mamutku;Woroszylski Wiktor;2008;63;literatura dziecięca;;;;;
445.  ;Ludzie na drzewach;Yanagihara Hanya;2017;440;literatura piękna;;;;;
446.  ;Piąta fala;Yancey Rick;2016;503;fantastyka młodzieżowa;;;;;
447.  ;Co ty mówisz?!;Załazińska Aneta;2013;111;inne;;;;;
448.  ;Moralność Pani Dulskiej;Zapolska Gabriela;2010;83;klasyka;;;;;
449.  ;Żabusia;Zapolska Gabriela;2010;58;klasyka;;;;;
450.  ;Fretki;Zas Agnieszka;2006;46;inne;;;;;
451.  ;Miniatury matematyczne;Zespół redakcyjny;1998;114;inne;;;;;
452.  ;Pomyśl tylko życzenie;Zienkiewicz Ewa;2012;180;literatura młodzieżowa;;;;;

