Lp.;Tytuł;Autor;Rok wydania;Liczba stron;Gatunek;;;;;
55.  ;Stowarzyszenie wędrujących dżinsów;Brashares Ann;2001;319;literatura młodzieżowa;;;;;
56.  ;Dziewięć żyć Chloe King, tom 1, Upadła;Braswell Liz ;2013;286;fantastyka młodzieżowa;;;;;
57.  ;Jak cało i zdrowo przyszedłem na świat;Breinholst Willy;1989;115;inne;;;;;
58.  ;Upiór w szkole;Brezina Thomas;2007;165;literatura młodzieżowa;;;;;
59.  ;Jak się nie bać ortografii?;Brykczyński Marcin;2009;70;inne;;;;;
60.  ;Akademia pana Kleksa;Brzechwa Jan;2004;133;literatura dziecięca;;;;;
63.  ;Tajemniczy ogród;Burnett Frances Hodgson;2004;253;literatura dziecięca;;;;;
61.  ;Mała księżnizka;Burnett Frances Hodgson;2006;197;literatura dziecięca;;;;;
62.  ;Tajemniczy ogród;Burnett Frances Hodgson;2010;344;literatura dziecięca;;;;;
64.  ;Wielka ilustrowana encyklopedia przyrody;Burnie David;2006;307;inne;;;;;
65.  ;39 wskazówek, tom 5, Czarny krąg;Carman Patric;2013;175;fantastyka dziecięca;;;;;
66.  ;Alicja w Krainie Czarów;Carroll Lewis;1988;223;klasyka;;;;;
67.  ;Dziewczyna ognia i cierni;Carson Rae;2015;414;fantastyka młodzieżowa;;;;;
69.  ;Selekcja, tom 1, Rywalki;Cass Kiera;2014;333;literatura młodzieżowa;;;;;
70.  ;Selekcja, tom 2, Elita;Cass Kiera;2014;326;literatura młodzieżowa;;;;;
71.  ;Selekcja, tom 3, Jedyna;Cass Kiera;2014;329;literatura młodzieżowa;;;;;
68.  ;Następczyni ;Cass Kiera;2015;359;literatura młodzieżowa;;;;;
72.  ;Akademia dobra i zła;Chainani Soman;2015;496;fantastyka dziecięca;;;;;
73.  ;Muzyka pana Szymanowskiego;Chotomska Wanda;2007;47;wiersze dziecięce;;;;;
74.  ;Remanent;Chotomska Wanda;2007;53;wiersze dziecięce;;;;;
75.  ;Rodzinna herbatka;Chotomska Wanda;2009;51;wiersze dziecięce;;;;;
76.  ;Tajemnica siedmiu zegarów;Christie Agatha;2006;264;kryminał;;;;;
77.  ;Próba żelaza;Clare Cassandra;2015;350;fantastyka dziecięca;;;;;
78.  ;Chłopak, który zniknął;Clements Andrew;2008;252;literatura młodzieżowa;;;;;
79.  ;Beta;Cohn Rachel;2013;316;literatura młodzieżowa;;;;;
80.  ;Beta, tom 2, Nowe pokolenie;Cohn Rachel;2016;260;literatura młodzieżowa;;;;;
83.  ;W pierścieniu ognia;Collins Susan;2009;359;fantastyka młodzieżowa;;;;;
82.  ;Kosogłos;Collins Susan;2010;371;fantastyka młodzieżowa;;;;;
